time,x_ref,y_ref,yaw_ref,x,y,yaw,v,w,x_next,y_next,yaw_next
0.46,2.99217,0.216581,94.14,2.99359,0.211945,94.1605,0.471415,0.155967,2.99325,0.216647,94.2499
0.47,2.99183,0.221281,94.23,2.99325,0.216647,94.2499,0.471414,0.155978,2.9929,0.221348,94.3393
0.48,2.99148,0.22598,94.32,2.9929,0.221348,94.3393,0.471413,0.155989,2.99254,0.226049,94.4286
0.49,2.99112,0.230679,94.41,2.99254,0.226049,94.4286,0.471412,0.155999,2.99218,0.230749,94.518
0.5,2.99075,0.235377,94.5,2.99218,0.230749,94.518,0.471411,0.15601,2.99181,0.235448,94.6074
0.51,2.99038,0.240075,94.59,2.99181,0.235448,94.6074,0.47141,0.15602,2.99143,0.240147,94.6968
0.52,2.99,0.244772,94.68,2.99143,0.240147,94.6968,0.47141,0.15603,2.99104,0.244845,94.7862
0.53,2.98961,0.249468,94.77,2.99104,0.244845,94.7862,0.471409,0.15604,2.99065,0.249543,94.8756
0.54,2.98921,0.254164,94.86,2.99065,0.249543,94.8756,0.471408,0.156051,2.99025,0.25424,94.965
0.55,2.98881,0.258859,94.95,2.99025,0.25424,94.965,0.471407,0.156061,2.98984,0.258936,95.0544
0.56,2.9884,0.263554,95.04,2.98984,0.258936,95.0544,0.471406,0.15607,2.98943,0.263632,95.1439
0.57,2.98798,0.268247,95.13,2.98943,0.263632,95.1439,0.471405,0.15608,2.989,0.268327,95.2333
0.58,2.98756,0.272941,95.22,2.989,0.268327,95.2333,0.471405,0.15609,2.98857,0.273022,95.3227
0.59,2.98713,0.277633,95.31,2.98857,0.273022,95.3227,0.471404,0.1561,2.98814,0.277715,95.4122
0.6,2.98669,0.282325,95.4,2.98814,0.277715,95.4122,0.471403,0.156109,2.98769,0.282408,95.5016
0.61,2.98624,0.287016,95.49,2.98769,0.282408,95.5016,0.471402,0.156118,2.98724,0.287101,95.591
0.62,2.98578,0.291706,95.58,2.98724,0.287101,95.591,0.471402,0.156128,2.98678,0.291792,95.6805
0.63,2.98532,0.296396,95.67,2.98678,0.291792,95.6805,0.471401,0.156137,2.98631,0.296483,95.77
0.64,2.98485,0.301085,95.76,2.98631,0.296483,95.77,0.4714,0.156146,2.98584,0.301173,95.8594
0.65,2.98438,0.305773,95.85,2.98584,0.301173,95.8594,0.471399,0.156155,2.98536,0.305863,95.9489
0.66,2.98389,0.310461,95.94,2.98536,0.305863,95.9489,0.471398,0.156164,2.98487,0.310551,96.0384
0.67,2.9834,0.315148,96.03,2.98487,0.310551,96.0384,0.471398,0.156173,2.98437,0.315239,96.1279
0.68,2.9829,0.319833,96.12,2.98437,0.315239,96.1279,0.471397,0.156182,2.98387,0.319926,96.2173
0.69,2.9824,0.324519,96.21,2.98387,0.319926,96.2173,0.471396,0.156191,2.98336,0.324612,96.3068
0.7,2.98188,0.329203,96.3,2.98336,0.324612,96.3068,0.471396,0.156199,2.98284,0.329298,96.3963
0.71,2.98136,0.333886,96.39,2.98284,0.329298,96.3963,0.471395,0.156208,2.98232,0.333982,96.4858
0.72,2.98083,0.338569,96.48,2.98232,0.333982,96.4858,0.471394,0.156216,2.98178,0.338666,96.5753
0.73,2.9803,0.343251,96.57,2.98178,0.338666,96.5753,0.471393,0.156225,2.98124,0.343349,96.6648
0.74,2.97976,0.347932,96.66,2.98124,0.343349,96.6648,0.471393,0.156233,2.9807,0.348031,96.7544
0.75,2.97921,0.352612,96.75,2.9807,0.348031,96.7544,0.471392,0.156241,2.98014,0.352712,96.8439
0.76,2.97865,0.357291,96.84,2.98014,0.352712,96.8439,0.471391,0.156249,2.97958,0.357393,96.9334
0.77,2.97808,0.36197,96.93,2.97958,0.357393,96.9334,0.471391,0.156257,2.97901,0.362072,97.0229
0.78,2.97751,0.366647,97.02,2.97901,0.362072,97.0229,0.47139,0.156265,2.97844,0.366751,97.1125
0.79,2.97693,0.371324,97.11,2.97844,0.366751,97.1125,0.471389,0.156273,2.97785,0.371428,97.202
0.8,2.97634,0.376,97.2,2.97785,0.371428,97.202,0.471389,0.156281,2.97726,0.376105,97.2915
0.81,2.97575,0.380674,97.29,2.97726,0.376105,97.2915,0.471388,0.156289,2.97666,0.380781,97.3811
0.82,2.97515,0.385348,97.38,2.97666,0.380781,97.3811,0.471387,0.156296,2.97606,0.385455,97.4706
0.83,2.97454,0.390021,97.47,2.97606,0.385455,97.4706,0.471387,0.156304,2.97544,0.390129,97.5602
0.84,2.97392,0.394693,97.56,2.97544,0.390129,97.5602,0.471386,0.156312,2.97482,0.394802,97.6498
