time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
0.37,2.57889,0.288008,51.2207,0.338562,0.285714,5.77124,7.77124,2.99493,0.17426,93.33,0.471239,0.15708,8.875,9.97456
0.38,2.58101,0.290647,51.3844,0.338562,0.285714,5.77124,7.77124,2.99466,0.178964,93.42,0.471239,0.15708,8.875,9.97456
0.39,2.58313,0.293292,51.5481,0.338562,0.285714,5.77124,7.77124,2.99437,0.183668,93.51,0.471239,0.15708,8.875,9.97456
0.4,2.58528,0.295997,51.7118,0.345337,0.285714,5.90675,7.90675,2.99408,0.188372,93.6,0.471239,0.15708,8.875,9.97456
0.41,2.58742,0.298707,51.8755,0.345337,0.285714,5.90675,7.90675,2.99378,0.193074,93.69,0.471239,0.15708,8.875,9.97456
0.42,2.58955,0.301424,52.0392,0.345337,0.285714,5.90675,7.90675,2.99347,0.197777,93.78,0.471239,0.15708,8.875,9.97456
0.43,2.59167,0.304147,52.2029,0.345337,0.285714,5.90675,7.90675,2.99316,0.202479,93.87,0.471239,0.15708,8.875,9.97456
0.44,2.59379,0.306876,52.3666,0.345337,0.285714,5.90675,7.90675,2.99284,0.20718,93.96,0.471239,0.15708,8.875,9.97456
0.45,2.59594,0.309662,52.5303,0.351909,0.285714,6.03818,8.03818,2.99251,0.211881,94.05,0.471239,0.15708,8.875,9.97456
0.46,2.59808,0.312455,52.694,0.351909,0.285714,6.03818,8.03818,2.99217,0.216581,94.14,0.471239,0.15708,8.875,9.97456
0.47,2.60021,0.315255,52.8577,0.351909,0.285714,6.03818,8.03818,2.99183,0.221281,94.23,0.471239,0.15708,8.875,9.97456
0.48,2.60233,0.31806,53.0214,0.351909,0.285714,6.03818,8.03818,2.99148,0.22598,94.32,0.471239,0.15708,8.875,9.97456
0.49,2.60445,0.320871,53.1851,0.351909,0.285714,6.03818,8.03818,2.99112,0.230679,94.41,0.471239,0.15708,8.875,9.97456
0.5,2.6066,0.323739,53.3488,0.358282,0.285714,6.16564,8.16564,2.99075,0.235377,94.5,0.471239,0.15708,8.875,9.97456
0.51,2.60874,0.326614,53.5125,0.358282,0.285714,6.16564,8.16564,2.99038,0.240075,94.59,0.471239,0.15708,8.875,9.97456
0.52,2.61087,0.329494,53.6762,0.358282,0.285714,6.16564,8.16564,2.99,0.244772,94.68,0.471239,0.15708,8.875,9.97456
0.53,2.61299,0.332381,53.8399,0.358282,0.285714,6.16564,8.16564,2.98961,0.249468,94.77,0.471239,0.15708,8.875,9.97456
0.54,2.6151,0.335274,54.0036,0.358282,0.285714,6.16564,8.16564,2.98921,0.254164,94.86,0.471239,0.15708,8.875,9.97456
0.55,2.61725,0.338222,54.1673,0.364462,0.285714,6.28924,8.28924,2.98881,0.258859,94.95,0.471239,0.15708,8.875,9.97456
0.56,2.61938,0.341177,54.331,0.364462,0.285714,6.28924,8.28924,2.9884,0.263554,95.04,0.471239,0.15708,8.875,9.97456
0.57,2.62151,0.344138,54.4947,0.364462,0.285714,6.28924,8.28924,2.98798,0.268247,95.13,0.471239,0.15708,8.875,9.97456
0.58,2.62362,0.347105,54.6584,0.364462,0.285714,6.28924,8.28924,2.98756,0.272941,95.22,0.471239,0.15708,8.875,9.97456
